"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2544183,"March 12, 2023",Iowa,Davenport,"600 block of W 63rd St",0,1,N/A
2544157,"March 11, 2023",Texas,Houston,"16800 block of Kilwinning Dr",1,0,N/A
2544158,"March 11, 2023",Alabama,Fairhope,"12520 Co Rd 48",2,0,N/A
2544150,"March 11, 2023",Texas,"San Antonio","1100 block of Vera Cruz",0,1,N/A
2544140,"March 11, 2023",Georgia,Covington,"Chandler Cir and Crestfield Cir",0,3,N/A
2544136,"March 11, 2023",Arizona,Phoenix,"1550 E Baseline Road",0,3,N/A
2544107,"March 11, 2023",Wisconsin,Omro,N/A,1,0,N/A
2543748,"March 11, 2023","New York",Brooklyn,"E 45th St and Snyder Ave",1,3,N/A
2544041,"March 11, 2023",Colorado,Denver,"Lipan St and W 7th Ave",0,1,N/A
2543919,"March 11, 2023",Tennessee,Hermitage,"4424 Lebanon Pike",1,0,N/A
2544031,"March 11, 2023",Colorado,Denver,"50th Ave and Quentin St",1,0,N/A
2544013,"March 11, 2023",Kansas,"Overland Park","9550 Ash St",1,0,N/A
2543996,"March 11, 2023",Maine,Waterville,"Pond Rd",0,0,N/A
2543994,"March 11, 2023",Missouri,"Saint Louis","7100 block of Piccadilly Ave",1,0,N/A
2543982,"March 11, 2023",California,Azusa,"600 block of N Glenfinnan Ave",0,3,N/A
2543932,"March 11, 2023",Ohio,Cleveland,"W 30th St and Meyer Ave",0,1,N/A
2543960,"March 11, 2023",Ohio,Columbus,"1400 block of E Livingston Ave",0,1,N/A
2543955,"March 11, 2023",Ohio,Columbus,"2635 W Broad St",0,1,N/A
2543957,"March 11, 2023",Tennessee,Knoxville,"1600 block of Reed St",1,0,N/A
2543949,"March 11, 2023",Ohio,Columbus,"1200 block of Evergreen Rd",0,1,N/A
2543947,"March 11, 2023",Illinois,Chicago,"4900 block of W Van Buren St",0,1,N/A
2543945,"March 11, 2023",Ohio,Columbus,"1800 block of Lockbourne Rd",1,0,N/A
2543930,"March 11, 2023",Kentucky,Louisville,"2900 block of W Market St",0,1,N/A
2543871,"March 11, 2023",Tennessee,Memphis,"2900 block of Invergarry Rd",0,1,N/A
2543831,"March 11, 2023",Missouri,"Kansas City","E 11th St and Grand Blvd",1,0,N/A
2543823,"March 11, 2023",Missouri,Dexter,"316 Alice St",1,0,N/A
2543759,"March 11, 2023",Texas,Dallas,"6400 block of Royal Ln",1,1,N/A
2543757,"March 11, 2023",Pennsylvania,Philadelphia,"E Sheldon St",0,1,N/A
2543754,"March 11, 2023",Pennsylvania,Philadelphia,"1901 W Hunting Park Ave",0,1,N/A
2543752,"March 11, 2023","New York",Brooklyn,"329 Lexington Ave",1,0,N/A
2543746,"March 11, 2023",Pennsylvania,Philadelphia,"E Cheltenham Ave and Harbison Ave",0,1,N/A
2543732,"March 11, 2023",Pennsylvania,Philadelphia,"S 51st St and Market St",0,2,N/A
2543727,"March 11, 2023",Indiana,Indianapolis,"5060 E 38th St",0,1,N/A
2543710,"March 11, 2023",Illinois,Chicago,"100 block of N Dearborn St",0,2,N/A
2543667,"March 11, 2023",Texas,Houston,"4913 Fuqua St",0,4,N/A
2543632,"March 11, 2023",Illinois,Chicago,"7100 block of S Halsted St",0,1,N/A
2543628,"March 11, 2023",Illinois,Chicago,"4100 block of W North Ave",0,1,N/A
2544216,"March 11, 2023",Maryland,"Silver Spring (Wheaton)","11160 Veirs Mill Rd",0,1,N/A
2544198,"March 11, 2023",Texas,Tyler,"13900 block of Old New Harmony Rd",0,2,N/A
2544188,"March 11, 2023",Florida,Tampa,"11325 N 50th St",1,1,N/A
2544179,"March 11, 2023",Florida,Orlando,"413 N Alafaya Trail",0,3,N/A
2543201,"March 10, 2023",Florida,Hialeah,"14811 NW 87th Ct",5,0,N/A
2543499,"March 10, 2023","New York","Corona (Queens)","130th St and 9th Ave",0,1,N/A
